cartera,subjurisdiccion,apertura,unidad,tipo_organismo
Ministerio de Economía,Ministerio de Economía,Ministerio de Economía,Presidencia de la Nación,Administración Central
Ministerio de Economía,Ministerio de Economía,Unidad de Auditoría Interna,Ministerio de Economía,Administración Central
Ministerio de Economía,Ministerio de Economía,Auditoría Interna Adjunta Procesos Sustantivos y Actividades Centrales,Unidad de Auditoría Interna,Administración Central
Ministerio de Economía,Ministerio de Economía,Supervisión de Auditoría Operacional y Actividades Centrales,Auditoría Interna Adjunta Procesos Sustantivos y Actividades Centrales,Administración Central
Ministerio de Economía,Ministerio de Economía,Responsable de Auditoría Operativa,Supervisión de Auditoría Operacional y Actividades Centrales,Administración Central
Ministerio de Economía,Ministerio de Economía,"Supervisión de Auditoría Contable, Financiera y Presupuestaria",Auditoría Interna Adjunta Procesos Sustantivos y Actividades Centrales,Administración Central
Ministerio de Economía,Ministerio de Economía,Auditoría Interna Adjunta Procesos Legales y de Tecnologías de la Información,Unidad de Auditoría Interna,Administración Central
Ministerio de Economía,Ministerio de Economía,Supervisión de Auditoría de Tecnologías de la Información,Auditoría Interna Adjunta Procesos Legales y de Tecnologías de la Información,Administración Central
Ministerio de Economía,Ministerio de Economía,Supervisión de Auditoría de Procesos Legales,Auditoría Interna Adjunta Procesos Legales y de Tecnologías de la Información,Administración Central
Ministerio de Economía,Ministerio de Economía,Auditoría Interna Adjunta de Energía,Unidad de Auditoría Interna,Administración Central
Ministerio de Economía,Ministerio de Economía,Supervisión de Auditoría de Energía,Auditoría Interna Adjunta de Energía,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Subsecretaría de Relaciones Institucionales,Ministerio de Economía,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Dirección de Seguimiento de Gestión y Fortalecimiento Institucional,Subsecretaría de Relaciones Institucionales,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Dirección General de Prensa y Difusión,Subsecretaría de Relaciones Institucionales,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Coordinación de Diseño Web y Contenidos Digitales,Dirección General de Prensa y Difusión,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Dirección General de Coordinación Institucional,Subsecretaría de Relaciones Institucionales,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Coordinación de Ceremonial,Dirección General de Coordinación Institucional,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Coordinación de Recuperación y Conservación del Patrimonio Cultural,Dirección General de Coordinación Institucional,Administración Central
Ministerio de Economía,Subsecretaría de Relaciones Institucionales,Coordinación Centro de Documentación e Información,Dirección General de Coordinación Institucional,Administración Central
Ministerio de Economía,Ministerio de Economía,Unidad Ejecutora Especial Temporaria 'Unidad de Relaciones Técnicas con el Fondo Monetario Internacional (FMI),Ministerio de Economía,Administración Central
Ministerio de Economía,Administración Federal de Ingresos Públicos,Administración Federal de Ingresos Públicos,Ministerio de Economía,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Prevención de Lavado de Activos y Financiamiento del Terrorismo,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Seguridad de la Información,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Coordinación de Políticas de Géneros y Derechos Humanos,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Coordinación Técnico Institucional,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Gestión Documental,Subdirección General de Coordinación Técnico Institucional,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Relaciones Institucionales,Subdirección General de Coordinación Técnico Institucional,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Auditoría Interna,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Auditoría de Procesos Operativos,Subdirección General de Auditoría Interna,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Auditoría de Procesos Centrales,Subdirección General de Auditoría Interna,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Planificación y Control de Legalidad,Subdirección General de Auditoría Interna,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Servicios al Contribuyente,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Asistencia al Ciudadano,Subdirección General de Servicios al Contribuyente,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Programas y Normas de Servicios al Ciudadano,Subdirección General de Servicios al Contribuyente,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Comunicación Estratégica,Subdirección General de Servicios al Contribuyente,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Coordinación de Relaciones con la Comunidad,Subdirección General de Servicios al Contribuyente,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Asuntos Jurídicos,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Asesoría Legal Impositiva y de los Recursos de la Seguridad Social,Subdirección General de Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Asesoría Legal Aduanera,Subdirección General de Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Asuntos Legales Administrativos,Subdirección General de Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Coordinación Judicial,Subdirección General de Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Legislación,Subdirección General de Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Administración Financiera,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Infraestructura y Logística,Subdirección General de Administración Financiera,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Compras,Subdirección General de Administración Financiera,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Presupuesto y Finanzas,Subdirección General de Administración Financiera,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Planificación,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Gestión Organizacional,Subdirección General de Planificación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Análisis y Estadísticas Tributarias,Subdirección General de Planificación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Planeamiento y Análisis de Gestión,Subdirección General de Planificación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,"Dirección de Coordinación de Investigaciones Tributarias, Aduaneras y de la Seguridad Social",Subdirección General de Planificación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Fiscalización,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Instrucciones y Sistemas de Fiscalización,Subdirección General de Fiscalización,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Análisis de Fiscalización Especializada,Subdirección General de Fiscalización,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Fiscalidad Internacional,Subdirección General de Fiscalización,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Analítica de Datos,Subdirección General de Fiscalización,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección  de Registro de Operaciones y Devoluciones,Subdirección General de Fiscalización,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Recaudación,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Programas y Normas de Procedimientos Aduaneros,Subdirección General de Recaudación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Programas y Normas de Recaudación,Subdirección General de Recaudación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Servicios de Recaudación,Subdirección General de Recaudación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Procesos de Recaudación,Subdirección General de Recaudación,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Sistemas y Telecomunicaciones,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Arquitectura de Sistemas,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Operaciones,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Ciencia de Datos,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Ingeniería,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Gestión de Proyectos y Metodologías,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Producto,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Desarrollo y Calidad de Sistemas,Subdirección General de Sistemas y Telecomunicaciones,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Recursos Humanos,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Capacitación,Subdirección General de Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Personal,Subdirección General de Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Evaluación y Desarrollo de Recursos Humanos,Subdirección General de Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Sumarios Administrativos,Subdirección General de Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección General de los Recursos de la Seguridad Social,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Supervisión y Evaluación Operativa,Dirección General de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Dirección General de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional de los Recursos de la Seguridad Social Sur,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional de los Recursos de la Seguridad Social Norte,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional de los Recursos de la Seguridad Social Oeste,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional de los Recursos de la Seguridad Social Grandes Empleadores,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Operaciones con Instituciones de la Seguridad Social,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional de los Recursos de la Seguridad Social Centro,Subdirección General de Coordinación Operativa de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General Técnico Legal de los Recursos de la Seguridad Social,Dirección General de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Asesoría y Coordinación Técnica,Subdirección General Técnico Legal de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Contencioso de los Recursos de la Seguridad Social,Subdirección General Técnico Legal de los Recursos de la Seguridad Social,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección General Impositiva,Administración Federal de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Coordinación y Evaluación Operativa,Dirección General Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Coordinación Técnica y Evaluación de la Gestión de Fiscalización,Dirección General Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Técnico Legal Impositiva,Dirección General Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Asesoría Técnica,Subdirección General de Técnico Legal Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Contencioso,Subdirección General de Técnico Legal Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Juicios Universales,Subdirección General de Técnico Legal Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Operaciones Impositivas Metropolitanas,Dirección General Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Sur,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Centro,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Centro II,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Oeste,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Microcentro,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Norte,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Palermo,Subdirección General de Operaciones Impositivas Metropolitanas,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Operaciones Impositivas del Interior,Dirección General Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Coordinación y Supervisión Impositiva de Interior,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Junín,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional La Plata,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Mercedes,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Rosario,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Posadas,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Paraná,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Río Cuarto,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional San Juan,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Resistencia,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Comodoro Rivadavia,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Santa Fe,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Tucumán,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Mendoza,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Mar del Plata,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Salta,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Neuquén,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Bahía Blanca,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección Regional Córdoba,Subdirección General de Operaciones Impositivas del Interior,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Subdirección General de Operaciones Impositivas de Grandes Contribuyentes Nacionales,Dirección General Impositiva,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Operaciones Grandes Contribuyentes Nacionales,Subdirección General de Operaciones Impositivas de Grandes Contribuyentes Nacionales,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección de Control Grandes Contribuyentes Nacionales,Subdirección General de Operaciones Impositivas de Grandes Contribuyentes Nacionales,Organismo Descentralizado
Ministerio de Economía,Administración Federal de Ingresos Públicos,Dirección General de Aduanas,Administración Federal de Ingresos Públicos,Organismo Descentralizado
